It depends on if you ever registered the birth .	registered	6	Past
Martin 's box is working wonderfully - I 'll have everything transferred to it and give him the keys by Friday .	transferred	11	Past
We aim to investigate the contributions of the use of a system that integrates cognitive digital games to a database , of the Escola do Cérebro , for monitoring and improvement of cognitive skills , highlighting the attention .	aim	1	Pres
With the development of artificial twines the sisal boom ended , and Mérida slowed to a more sleepy provincial capital until development picked back up in the late 20th century .	slowed	13	Past
If they 're going kinda slow and like fake biting ( not biting as hard as they can ) , and fake scratching ( not hitting as hard as they can with their paws ) then they 're playing .	biting	9	Pres
And his apartment is so run down down I 'm afraid roaches might be crawling over the baby .	crawling	14	Pres
Now truck fenders are rusting there , the twentieth century adding its crumbling metal to the great Jerusalem dust mixture .	rusting	4	Pres
The moving company is actualy based in Brooklyn , but advertised all over NY / NJ , including Fort Lee .	advertised	10	Past
that OBSF values within the extended trial balance may be misstated due to data issues ( above and beyond existing conversations with AA on model simplifications )	misstated	10	Past
$ 401.3 b - Proposed military budget for 2004 .	Proposed	4	Past
Do you raid terrorist headquarters , hidden in a mental hospital ?	hidden	6	Past
Numbered streets run East / West with Main Street and the Arkansas River as the dividing line .	run	2	Pres
Just recently discovered them last time I was down there , they 're very nice ) www.kaffeeeis.co.nz	discovered	2	Past
The Wolfson Foundation of London has paid for the planting of gardens , and Arab kids are kicking a soccer ball in the green bottom of the valley .	planting	9	Pres
" Across the United States , the northern edge of species ' range is expanding , " she said .	expanding	14	Pres
ESAI contributes oil and gas input price forecasts , capacity judgments , and " herding " ideas to develop power price forecasts for same time periods .	contributes	1	Pres
Every time the elevator reaches a new floor , say “ ding ! ” very loudly .	reaches	4	Pres
There are a number of key points that I would like to address before concluding .	concluding	14	Pres
You either 1 ) sacrifice on breadth and do n't produce the topics that wo n't interest advertisers , or 2 ) you sacrifice on quality and produce content that does n't cost much to write .	sacrifice	4	Pres
The doctor bares my mother ’s arm , where the crepey flesh hangs loosely on the bones .	bares	2	Pres
They have been accumulating for years , and basically give the president to sieze the government whenever he feels like it .	accumulating	3	Pres
Just as he opened his mouth to speak , he was interrupted by a clattering of keys at the front door , the sound of the door opening and then slamming shut , and a burst of voices .	clattering	14	Pres
The reality is that it stands for and operationalizes US power , in cooperation with America 's closest allies .	operationalizes	8	Pres
Huge amounts of money , which could have solved many social problems in this dysfunctional part of the world , are channeled into three concentric spheres supporting death and murder .	solved	8	Past
Why , how can i build up realtion ship with him he is also not useing the thing that he runs on and he wakes up walks around and goes to sleep again ???	wakes	24	Pres
However , if they have been vomiting numerous times , then the blood could be due to irritation of the stomach and intestines .	vomiting	6	Pres
A page created using Microsoft Access 2000 must be converted before it can be used with Access 2002 .	converted	9	Past
in the end , however , it pays to differentiate .	pays	7	Pres
Worse for Israel , the assassination drew a denunciation even from the moderate and cautious Grand Ayatollah Ali Sistani , who wields enormous moral authority over Iraqi Shiites .	wields	21	Pres
A small number of actions geared on the protection against currency counterfeiting are carried out under other Community programmes , such as TAIEX and Twinning .	geared	5	Past
But in the meantime , highly recommend jeans and long sleeves anytime you 'll be interacting with the kittens .	interacting	15	Pres
We took it back in to have it repaired again , and less than a week later the second compressor went out .	repaired	8	Past
Like the previous poster said , the com lines are split between the entire building .	split	10	Past
They showed some kids on TV , and they were quite taken with it .	showed	1	Past
Give me a call Tuesday afternoon to discuss ( gone to Kelowna golfing for the weekend ) .	gone	9	Past
But there was one yet – the biggest , the most blank , so to speak – that I had a hankering after .	hankering	21	Pres
We look to the Commission also to ensure that there is matched funding for projects .	matched	11	Past
" They ( electricity generators ) grinned and beared the $ 750 price cap , but this new plan by ISO was too much , " said Dunn , whose committee has been investigating since March .	investigating	33	Pres
His initiation took place on April 17 , 1789 , at Holland Lodge No. 8 , F&AM , which the Grand Lodge of New York F&AM had chartered in 1787 .	chartered	27	Past
The numbers indicate that in his first four years , Bush not only showed up , he showed up a lot .	showed	17	Past
It is also encouraging citizens to ask for application of the law in their local municipalities .	encouraging	3	Pres
Once two sets of leaves have formed , basil can be planted into the garden or permanent containers .	planted	11	Past
Directive 78 / 170 / EEC should therefore be repealed .	repealed	9	Past
Mr Martin , please reply without engaging in a dialogue , as the Rules do not provide for one .	engaging	6	Pres
There was an air of plotting about that station , but nothing came of it , of course .	plotting	5	Pres
The South retaliated by firing dozens of rounds of artillery into the north .	retaliated	2	Past
The last three years of the Iraq occupation , however , have sapped this confidence .	sapped	12	Past
The classes cover all age and skill ranges , with BALLROOM , LATIN , SEQUENCE , STREET , DISCO , LINE DANCING , BALLET , TAP & JAZZ .	cover	2	Pres
I think she likes her special room in your house .	likes	3	Pres
When she was spayed the vet had a hard time because she only has one uterine horn and he said this could mean she only has on kidney .	spayed	3	Past
The above applies to the Work as incorporated in a Collective Work , but this does not require the Collective Work apart from the Work itself to be made subject to the terms of this License .	applies	2	Pres
Even civil servants at national and local government level in Britain are not allowed to get involved in electioneering as the Commissioners are doing .	electioneering	18	Pres
A third narrative poem , A Lover 's Complaint , in which a young woman laments her seduction by a persuasive suitor , was printed in the first edition of the Sonnets in 1609 .	laments	15	Pres
The rapporteur has also quite rightly stated that Parliament was not heard in time regarding the guidelines .	stated	6	Past
the group to which Edwardsiella andrillae belongs includes many species that reproduce asexually , and it 's possible that the fields are " clones " produced asexually rather than the result of sexual reproduction .	reproduce	11	Pres
The President is very eager to go ahead quickly and get this vote , because he very much wants to have Samuel Alito on the Supreme Court , to be judging the cases Bush is interested in .	judging	30	Pres
ANA took this approach by creating a Facebook page to acquire interested users for ongoing messaging opportunities and developing a compelling advertising campaign .	compelling	20	Pres
Japan protested , to no avail , that the project should be a joint one .	protested	1	Past
I wish all happy holidays , and moreso , wish peace on earth .	wish	1	Pres
When regarding an artwork , a viewer gathers information through a series fixations , interspersed by rapid movements of the eye called saccades .	gathers	7	Pres
Also , Beardies often do not eat food that is not moving , so it s anyone 's guess whether or not he 'll touch the freeze - dried crickets or the processed food .	moving	11	Pres
Mrs Weasley was marching across the yard , scattering chickens , and for a short , plump , kind-faced woman , it was remarkable how much she looked like a saber-toothed tiger .	scattering	8	Pres
I 've had a lot of cats who refused to eat the canned food .	canned	12	Past
President Bush has always said that working for Blount was the reason he transferred to the Alabama Air National Guard .	transferred	13	Past
' Ah ! So they talk of him down there , he murmured to himself .	murmured	12	Past
I pray that you understand our plight .	pray	1	Pres
GOODWYN : The candidate Mr. Bush was working for , Red Blount , had gotten rich in Alabama in the construction business .	gotten	14	Past
" But he likes everyone .	likes	3	Pres
Helps in self - expression and develops one 's potentiality .	Helps	0	Pres
Some of the major differences I see is the HD video , longer battery life , and faster processor that the NOOK Tablet boasts .	boasts	23	Pres
He felt as though Auster were taunting him with the things he had lost , and he responded with envy and rage , a lacerating self-pity .	taunting	6	Pres
Following the American Revolutionary War , L'Enfant established a successful and highly profitable civil engineering firm in New York City .	established	7	Past
If democracy is just free elections , it is likely that the most fanatic regime will be elected , the one whose incitement and fabrications are the most inflammatory .	elected	17	Past
We are run as a Hybrid Organization - a for-profit company focused on achieving a social good .	run	2	Past
Fill in the subject , this will be the header that everyone sees as they scroll through the list of postings in a particular group , click the post message button .	scroll	15	Pres
Although it is highly built up , Fort Lee also houses many playing fields and recreational parks as well as bike and running trails .	houses	10	Pres
Two vaunted economists - one a Nobel Prize winner and the other a nationally renowned budget expert - have analyzed the data at hand and put a price tag on the Iraq occupation .	analyzed	19	Past
That pollution was money to that community , and those people dealt with the pollution and absorbed it into their skin and into their bodies because they needed the money .	absorbed	16	Past
I 'm unsure of this , because once I watched a commercial of cat food with my cat and she did n't react to seeing another cat on TV .	watched	9	Past
I dislike this urban society and want to leave this whole enviroment .	dislike	1	Pres
Before coming to Acupuncture DOCTOR I was a big baby about needles and only came because my boyfriend 's aunt recommended it .	recommended	20	Past
I KNOW YOU HAVE A LOT GOING ON WITH YOU AND THE LITTLE WOMAN .	KNOW	1	Pres
Her eyes were veined with red .	veined	3	Past
I 'm assuming it 's to scare off predators / like how they will puff up their neck spikes to make them look bigger to predators or enemies .	assuming	2	Pres
Just yesterday we switched over to a new site which has a demo of the VM ( virtual microscope ) I invite you to check it out .	invite	21	Pres
Prices listed , however , are usually based on two people in a cabin , and you will likely face some high " single supplement " costs in addition .	listed	1	Past
However , in April 2001 , the IAEA published Fifteen Years after the Chernobyl Accident - Lessons learned . which contradict the earlier reports .	contradict	20	Pres
Perhaps Jim Armogida can assist in revising them as I am sure he is more familiar with the way Enron Corp. likes their resolutions drafted than we are .	likes	21	Pres
Tree swallows are nesting nine days earlier .	nesting	3	Pres
$ 1 m - Estimated value of a painting the Bush Presidential Library in College Station , Texas , received from Prince Bandar , Saudi Arabia 's ambassador to the United States and Bush family friend .	Estimated	4	Past
However , when you get off that aeroplane , if you have n't pre-organised transport , you will have to walk , and it is a long way into town .	pre-organised	13	Past
L'Enfant was recruited by Pierre Augustin Caron de Beaumarchais to serve in the American Revolutionary War in the United States .	recruited	2	Past
He and his master dragged me to my room and held judgment upon me as a convicted traitress .	dragged	4	Past
She pointed to the refreshment table with Campbell 's Soup served with " electric " Kool Aid and tables adorned with colorful gumball " pills " .	pointed	1	Past
She gave a small , self-questioning shrug , admitting the glibness of another kind of daily talk in another time .	admitting	8	Pres
This I would have read without flinching in Chicago but in Jerusalem I flinched and put the book down .	flinching	6	Pres
Test simple image and text - based adverts and use what works .	Test	0	Pres
Spreading democracy over the world , the Americans first fought rigged elections in Syria , but the old corruption continued despite all their power and money could do .	fought	9	Past
Filtering by selection is particularly useful for fields in the detail area , when you want to view all of the rows that contain a particular value .	Filtering	0	Pres
I also have a profile they fill out for me , a mini-MMPI that I developed , so that I have an idea -- Rebecca and I put it together	fill	6	Pres
* Offers a 7.5 cent / dth rate to large customers while minimizing rate changes to other customers , minimizing the incentive for these customers to seek to bypass local transmission charges and other CPUC - approved charges . *	Offers	1	Pres
The major exception is downtown , which is slanted at almost a 45 degree angle to the rest of the grid .	slanted	8	Past
What greatness had not floated on the ebb of that river into the mystery of an unknown earth ! ...	floated	4	Past
He closed his eyes again wishing it would stop , and then – he fell , face forward , onto cold stone and felt his glasses shatter .	wishing	5	Pres
Dudley , who was so large his bottom drooped over either side of the kitchen chair , grinned and turned to Harry .	drooped	8	Past
This draft reflects the changes we discussed during our call the other day .	discussed	6	Past
Other methods , such as the method adopted in 2005 , makes the snitch a tennis ball in a sock , hanging out of the running shorts of the snitch runner .	makes	11	Pres
" Marcel Proust similarly learned from the Realist example ;	learned	4	Past
" They ( electricity generators ) grinned and beared the $ 750 price cap , but this new plan by ISO was too much , " said Dunn , whose committee has been investigating since March .	grinned	6	Past
Limerick 's a great student city , there 's loads on , you 'll be spoilt for choice .	spoilt	15	Past
But succintly making point after succint point , the text of the letter stands on its own merit , regardless .	stands	13	Pres
He took a deep breath , scattered the powder into the flames and stepped forward ; the fire felt like a warm breeze ; he opened his mouth and immediately swallowed a lot of hot ash .	swallowed	30	Past
Hundreds of people are feared dead in Mississippi , and the Louisiana city of New Orleans is badly flooded .	flooded	18	Past
Some localized extinctions already have occurred across some of its habitat .	occurred	5	Past
